Campaign,Funnel,Category,Brand,Start Date,End Date,Objective,Region,Platform,Buying Type,Ad format,Placement,TA,Unit,Pool size,Don Gia,Discount,Net media cost,Total media cost VND,Pool size,reach_plan,reach_estimate,%reach_estimate,reach_combine_estimate,%reach_combine_estimate,impression_plan,impression_estimate,views_plan,views_estimate,engagement_plan,engagement_estimate,click_plan,click_estimate,frequency_estimate,frequency_estimate_week,frequency_combine_estimate_week,er_estimate,vtr_estimate,ctr_estimate,click to rate(CTR),So tuan,Ngay,exchange_rate,bench_mark
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,Rural,Youtube,YT For Reach,Video 15s,Auction  instream/infeed/shorts,P18-24, CPM ,1.290.000,VND 15.928,,VND 20.547.460,24786988,2.150.000,645,645,30%,,, 1.290.000 , 1.290.000 , -   ,193.5,,,,1.29,2,,,,"15,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,Rural,Youtube,YT Non Skip,Video 15s,Auction  instream/infeed/shorts,F25-44, CPM ,2.070.000,VND 29.525,,VND 61.115.969,70413377,3.450.000,,1.035.000,30%, 1.680.000 ,, 2.070.000 , 2.070.000 , -   , 1.759.500 ,,,,2.07,2,,,,"85,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,Rural,Youtube,YT Non Skip,Video 15s,Auction  instream/infeed/shorts,P18-24, CPM ,1.290.000,VND 27.490,,VND 35.462.564,41024018,2.150.000,,645,30%,,, 1.290.000 , 1.290.000 , -   , 1.096.500 ,,,,1.29,2,,,,"85,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,Rural,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,F25-44, CPM ,2.880.000,VND 6.423,,VND 18.499.120,19165088,4.800.000,1.440.000,1.440.000,30%, 2.970.000 ,, 2.880.000 , 2.880.000 , -   ,86.4,,,,2.88,2,,,,"3,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,1/22/2025,1/31/2025,Reach,Rural,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,P18-24, CPM ,3.060.000,VND 6.776,,VND 20.735.680,21482164,5.100.000,1.530.000,1.530.000,30%,,, 3.060.000 , 3.060.000 , -   ,91.8,,,,3.06,2,,,,"3,0%","0,1%"," 2,0 ",10,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,HCM,Youtube,Bumper,Video 6s,Auction  instream/infeed/shorts,F25-44, CPM ,1.620.000,VND 32.500,,VND 52.650.000,60353439,2.025.000,,810,40%, 1.171.600 ,, 1.620.000 , 1.620.000 , -   , -   ,,,,1.62,2,,,,,"0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,HCM,Youtube,Bumper,Video 6s,Auction  instream/infeed/shorts,P18-24, CPM ,723.2,VND 32.500,,VND 23.504.000,26942967,904,,361.6,40%,,,723.2,723.2, -   , -   ,,,,723,2,,,,,"0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,HCM,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,F25-44, CPM ,3.520.000,VND 6.800,,VND 23.936.000,24797696,4.400.000,1.760.000,1.760.000,40%, 3.640.000 ,, 3.520.000 , 3.520.000 ,,105.6, -   ,,,3.52,2,,,,"3,0%","0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,HCM,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,P18-24, CPM ,3.760.000,VND 6.800,,VND 25.568.000,26488448,4.700.000,1.880.000,1.880.000,40%,,, 3.760.000 , 3.760.000 ,,112.8, -   ,,,3.76,2,,,,"3,0%","0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,Urban,Youtube,Bumper,Video 6s,"Auction  instream/
infeed/shorts",F25-44, CPM ,2.442.900,VND 32.500,,VND 79.394.250,91010750,4.071.500,,1.221.450,30%, 1.940.550 ,, 2.442.900 , 2.442.900 , -   , -   ,,,,2.443,2,,,,,"0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,Urban,Youtube,Bumper,Video 6s,"Auction  instream/
infeed/shorts",P18-24, CPM ,1.438.200,VND 32.500,,VND 46.741.500,53580442,2.397.000,,719.1,30%,,, 1.438.200 , 1.438.200 , -   , -   ,,,,1.438,2,,,,,"0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,Urban,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,F25-44, CPM ,4.380.000,VND 5.500,,VND 24.090.000,24957240,7.300.000,2.190.000,2.190.000,30%, 4.800.000 ,, 4.380.000 , 4.380.000 ,,131.4, -   ,,,4.38,2,,,,"3,0%","0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,Urban,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,P18-24, CPM ,5.220.000,VND 5.500,,VND 28.710.000,29743560,8.700.000,2.610.000,2.610.000,30%,,, 5.220.000 , 5.220.000 ,,156.6, -   ,,,5.22,2,,,,"3,0%","0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,Rural,Youtube,Bumper,Video 6s,Auction  instream/infeed/shorts,F25-44, CPM ,2.070.000,VND 33.200,,VND 68.724.000,78695708,3.450.000,,1.035.000,30%, 1.680.000 ,, 2.070.000 , 2.070.000 , -   , -   ,,,,2.07,2,,,,"0,0%","0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,Rural,Youtube,Bumper,Video 6s,Auction  instream/infeed/shorts,P18-24, CPM ,1.290.000,VND 33.200,,VND 42.828.000,49042253,2.150.000,,645,30%,,, 1.290.000 , 1.290.000 , -   , -   ,,,,1.29,2,,,,"0,0%","0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,Rural,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,F25-44, CPM ,2.880.000,VND 6.000,,VND 17.280.000,17902080,4.800.000,1.440.000,1.440.000,30%, 2.970.000 ,, 2.880.000 , 2.880.000 ,,86.4, -   ,,,2.88,2,,,,"3,0%","0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,5-Feb,2/28/2025,Reach,Rural,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,P18-24, CPM ,3.060.000,VND 6.000,,VND 18.360.000,19020960,5.100.000,1.530.000,1.530.000,30%,,, 3.060.000 , 3.060.000 ,,91.8, -   ,,,3.06,2,,,,"3,0%","0,1%"," 2,0 ",24,,,
SustainQ1,AWARENESS,SCUMS,Probi,1-Mar,3/31/2025,Reach,HCM,Youtube,Bumper,Video 6s,Auction  instream/infeed/shorts,F25-44, CPM ,1.518.750,VND 32.500,,VND 49.359.375,56581349,2.025.000,,607.5,30%,912.6,, 1.518.750 , 1.518.750 , -   , -   ,,,,1.519,3,,,,"0,0%","0,1%"," 2,0 ",31,,,
SustainQ1,AWARENESS,SCUMS,Probi,1-Mar,3/31/2025,Reach,HCM,Youtube,Bumper,Video 6s,Auction  instream/infeed/shorts,P18-24, CPM ,762.75,VND 32.500,,VND 24.789.375,28416411,1.017.000,,305.1,30%,,,762.75,762.75, -   , -   ,,,,763,3,,,,"0,0%","0,1%"," 2,0 ",31,,,
SustainQ1,AWARENESS,SCUMS,Probi,1-Mar,3/31/2025,Reach,HCM,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,F25-44, CPM ,3.300.000,VND 6.800,,VND 22.440.000,23247840,4.400.000,1.320.000,1.320.000,30%, 2.730.000 ,, 3.300.000 , 3.300.000 ,,99, -   ,,,3.3,3,,,,"3,0%","0,1%"," 2,0 ",31,,,
SustainQ1,AWARENESS,SCUMS,Probi,1-Mar,3/31/2025,Reach,HCM,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,P18-24, CPM ,3.525.000,VND 6.800,,VND 23.970.000,24832920,4.700.000,1.410.000,1.410.000,30%,,, 3.525.000 , 3.525.000 ,,105.75, -   ,,,3.525,3,,,,"3,0%","0,1%"," 2,0 ",31,,,
SustainQ1,AWARENESS,SCUMS,Probi,1-Mar,3/31/2025,Reach,Urban,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,F25-44, CPM ,5.475.000,VND 5.500,,VND 30.112.500,31196550,7.300.000,2.190.000,2.190.000,30%, 4.800.000 ,, 5.475.000 , 5.475.000 ,, -   , -   ,,,5.475,3,,,,"3,0%","0,1%"," 2,0 ",31,,,
SustainQ1,AWARENESS,SCUMS,Probi,1-Mar,3/31/2025,Reach,Urban,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,P18-24, CPM ,6.525.000,VND 5.500,,VND 35.887.500,37179450,8.700.000,2.610.000,2.610.000,30%,,, 6.525.000 , 6.525.000 ,, -   , -   ,,,6.525,3,,,,"3,0%","0,1%"," 2,0 ",31,,,
SustainQ1,AWARENESS,SCUMS,Probi,1-Mar,3/31/2025,Reach,Rural,Facebook ,FB R&F,"Still image, multi, Video  15s, 6s, social post AWO",Facebook/ Instagram Newsfeed; Facebook/ Instagram Story;,F25-44, CPM ,3.000.000,VND 6.000,,VND 18.000.000,18648000,4.800.000,1.200.000,1.200.000,25%, 2.475.000 ,, 3.000.000 , 3.000.000 ,, -   , -   ,,,3,3,,,,"3,0%","0,1%"," 2,0 ",31,,,
